advantage_over_hard_mean,ci_high,ci_low,comparison,fraction_identities_advantage_positive,identity_count,metric,n_id,n_obs,region,training_seed,variant
0.46570308910555996,0.7869826536342521,0.1728740089670814,released,0.65,20,masked_psnr,8,1,eyes,0,head_target_density1
-1.241655048495549,-0.8424054679084695,-1.66554425571703,adaptive,0.1,20,masked_psnr,8,1,flame_supported,0,head_target_density1
-0.9630611671152357,-0.6510036332333041,-1.267603228884177,released,0.15,20,masked_psnr,8,1,flame_supported,0,head_target_density1
0.2801638727401737,0.4997153271358193,0.12753457469855903,adaptive,0.85,20,masked_psnr,8,1,flame_unsupported,0,head_target_density1
0.39525848604800407,0.601318280243599,0.250034641388307,released,1.0,20,masked_psnr,8,1,flame_unsupported,0,head_target_density1
0.06840802640418184,0.20596433570867853,-0.032066099186297777,adaptive,0.45,20,masked_psnr,8,1,foreground,0,head_target_density1
0.20508961821378846,0.3504013007877131,0.1002363565389481,released,0.8,20,masked_psnr,8,1,foreground,0,head_target_density1
0.11591453163001901,0.24370946069711225,0.010987981063246322,adaptive,0.6,20,masked_psnr,8,1,full_frame,0,head_target_density1
0.18989983151447803,0.3548320809379622,0.052953023274141836,released,0.75,20,masked_psnr,8,1,full_frame,0,head_target_density1
0.4936846922199116,0.8004491459336012,0.1976089430986043,adaptive,0.8,20,masked_psnr,8,1,head_foreground,0,head_target_density1
0.6136663925382734,0.9083794107814545,0.3300554532589467,released,0.8,20,masked_psnr,8,1,head_foreground,0,head_target_density1
-0.461449480830633,0.017687689521744588,-1.1415278515158434,adaptive,0.5,20,masked_psnr,8,1,head_supported,0,head_target_density1
-0.5243938425858243,-0.16877836942309363,-0.9634513835050065,released,0.2,20,masked_psnr,8,1,head_supported,0,head_target_density1
0.8728190613965614,1.3614030747319321,0.4161031412667667,adaptive,0.85,20,masked_psnr,8,1,head_unsupported,0,head_target_density1
1.1588891847351301,1.5966013844946698,0.7481906290450011,released,0.95,20,masked_psnr,8,1,head_unsupported,0,head_target_density1
-0.16522848689974,0.14800365318359898,-0.49422914025324177,adaptive,0.45,20,masked_psnr,8,1,oral,0,head_target_density1
0.18854033942810347,0.47474313039778365,-0.09715019034326026,released,0.55,20,masked_psnr,8,1,oral,0,head_target_density1
-0.07631926906050542,0.08636235677831323,-0.21635544285116762,adaptive,0.3,20,masked_psnr,8,1,torso_outside_head_roi,0,head_target_density1
0.04086174760828516,0.16865777945597293,-0.0763817504888149,released,0.45,20,masked_psnr,8,1,torso_outside_head_roi,0,head_target_density1
2.682946585131678,5.217648983323765,0.7512184895445414,adaptive,0.75,20,masked_psnr,8,4,background,0,head_target_density1
1.8018634539758929,4.235880976228576,-0.11540343139529494,released,0.75,20,masked_psnr,8,4,background,0,head_target_density1
-0.23992762032194914,0.15782654130346024,-0.6633379839784412,adaptive,0.45,20,masked_psnr,8,4,eyes,0,head_target_density1
0.37232888203999737,0.7367801465108127,0.009004111950335226,released,0.55,20,masked_psnr,8,4,eyes,0,head_target_density1
-1.467274613360558,-0.9930194602941484,-1.9698633952654543,adaptive,0.05,20,masked_psnr,8,4,flame_supported,0,head_target_density1
-1.0586722849112686,-0.6885786032829168,-1.4288867974690893,released,0.15,20,masked_psnr,8,4,flame_supported,0,head_target_density1
0.3441226967272778,0.5850632765225413,0.17429879681544394,adaptive,0.9,20,masked_psnr,8,4,flame_unsupported,0,head_target_density1
0.4512636703193678,0.6987711913117508,0.2800194960195826,released,1.0,20,masked_psnr,8,4,flame_unsupported,0,head_target_density1
0.10088033699124868,0.2697987687953968,-0.02571640438698627,adaptive,0.55,20,masked_psnr,8,4,foreground,0,head_target_density1
0.2560553920293277,0.43553763161803316,0.12054725219506307,released,0.9,20,masked_psnr,8,4,foreground,0,head_target_density1
0.10976745843766116,0.2636497755358467,-0.052324948561080914,adaptive,0.7,20,masked_psnr,8,4,full_frame,0,head_target_density1
0.2112827234654527,0.36455208176502657,0.05712919124152972,released,0.75,20,masked_psnr,8,4,full_frame,0,head_target_density1
0.5613199990691182,0.8942526968287955,0.23871904391491863,adaptive,0.75,20,masked_psnr,8,4,head_foreground,0,head_target_density1
0.7369794412114065,1.0871630501187732,0.42575229399593073,released,0.8,20,masked_psnr,8,4,head_foreground,0,head_target_density1
-0.742233229802454,-0.12851453913917493,-1.571629489523638,adaptive,0.4,20,masked_psnr,8,4,head_supported,0,head_target_density1
-0.6613312690504245,-0.1744067309522686,-1.2244833493379128,released,0.4,20,masked_psnr,8,4,head_supported,0,head_target_density1
1.0458069372299685,1.5415099251462998,0.6101235311384241,adaptive,0.85,20,masked_psnr,8,4,head_unsupported,0,head_target_density1
1.3732380845854597,1.8667548836928687,0.9365123883642852,released,0.95,20,masked_psnr,8,4,head_unsupported,0,head_target_density1
-0.37401886155217223,-0.14936618484343206,-0.6102261627112213,adaptive,0.25,20,masked_psnr,8,4,oral,0,head_target_density1
0.07252015302320913,0.3705816128021459,-0.20920748173100195,released,0.45,20,masked_psnr,8,4,oral,0,head_target_density1
-0.07134583192097599,0.08833958858639401,-0.20882601815415033,adaptive,0.3,20,masked_psnr,8,4,torso_outside_head_roi,0,head_target_density1
0.06396963404435205,0.20589837343886022,-0.06015730458914023,released,0.45,20,masked_psnr,8,4,torso_outside_head_roi,0,head_target_density1
2.487343238532314,4.908250456496649,0.6661384514279548,adaptive,0.75,20,masked_psnr,8,8,background,0,head_target_density1
1.5903998283350445,3.7959098030645406,-0.021018577014192828,released,0.75,20,masked_psnr,8,8,background,0,head_target_density1
-0.12029942838994412,0.2938913724171671,-0.5496146537627352,adaptive,0.4,20,masked_psnr,8,8,eyes,0,head_target_density1
0.5575321150943113,0.9789406796743175,0.14382773128610724,released,0.6,20,masked_psnr,8,8,eyes,0,head_target_density1
-1.6332070442378346,-1.1565966686632922,-2.1525817069292508,adaptive,0.05,20,masked_psnr,8,8,flame_supported,0,head_target_density1
-1.1465188572445326,-0.7861055030815778,-1.5037701230745038,released,0.05,20,masked_psnr,8,8,flame_supported,0,head_target_density1
0.31919456446608563,0.5399413865998348,0.16325571303519698,adaptive,0.9,20,masked_psnr,8,8,flame_unsupported,0,head_target_density1
0.4306621229139008,0.6687547029590449,0.26437592602646937,released,1.0,20,masked_psnr,8,8,flame_unsupported,0,head_target_density1
0.06127517130792337,0.21634204872151738,-0.06225061019963001,adaptive,0.5,20,masked_psnr,8,8,foreground,0,head_target_density1
0.2280985761737421,0.3975917093432197,0.09742655713555103,released,0.8,20,masked_psnr,8,8,foreground,0,head_target_density1
0.07858126096932097,0.23182615105487833,-0.0768142564450791,adaptive,0.65,20,masked_psnr,8,8,full_frame,0,head_target_density1
0.1866406138557722,0.3490083733492008,0.034113431653840995,released,0.75,20,masked_psnr,8,8,full_frame,0,head_target_density1
0.49511151262438313,0.8480463478811993,0.1396446302572703,adaptive,0.75,20,masked_psnr,8,8,head_foreground,0,head_target_density1
